model,feature_type,feature,coefficient,abs_coefficient
M3_l1_tokens_bigrams_plus_qid_fe,token,solve,2.382009427146331,2.382009427146331
M3_l1_tokens_bigrams_plus_qid_fe,qid,790,-2.225651114939851,2.225651114939851
M3_l1_tokens_bigrams_plus_qid_fe,qid,740,-2.185832540132417,2.185832540132417
M3_l1_tokens_bigrams_plus_qid_fe,qid,715,-2.1237485091385535,2.1237485091385535
M3_l1_tokens_bigrams_plus_qid_fe,qid,956,-2.082704581925801,2.082704581925801
M3_l1_tokens_bigrams_plus_qid_fe,qid,92,-2.0684550522424803,2.0684550522424803
M3_l1_tokens_bigrams_plus_qid_fe,qid,445,-1.9985216074865095,1.9985216074865095
M3_l1_tokens_bigrams_plus_qid_fe,qid,827,-1.8674127441818162,1.8674127441818162
M3_l1_tokens_bigrams_plus_qid_fe,qid,1060,-1.844668449923002,1.844668449923002
M3_l1_tokens_bigrams_plus_qid_fe,qid,1033,-1.757689625652999,1.757689625652999
M3_l1_tokens_bigrams_plus_qid_fe,qid,150,-1.6007929580069715,1.6007929580069715
M3_l1_tokens_bigrams_plus_qid_fe,qid,851,-1.5798438621687585,1.5798438621687585
M3_l1_tokens_bigrams_plus_qid_fe,qid,944,-1.576507156098811,1.576507156098811
M3_l1_tokens_bigrams_plus_qid_fe,qid,1201,-1.4745329368487774,1.4745329368487774
M3_l1_tokens_bigrams_plus_qid_fe,qid,348,1.4101666777034954,1.4101666777034954
M3_l1_tokens_bigrams_plus_qid_fe,qid,279,-1.377077809014137,1.377077809014137
M3_l1_tokens_bigrams_plus_qid_fe,qid,468,1.3598889925383042,1.3598889925383042
M3_l1_tokens_bigrams_plus_qid_fe,token,rationalize,1.3498783603743634,1.3498783603743634
M3_l1_tokens_bigrams_plus_qid_fe,qid,214,-1.3062184060345066,1.3062184060345066
M3_l1_tokens_bigrams_plus_qid_fe,token,rearrange compute,-1.2003368983591516,1.2003368983591516
M3_l1_tokens_bigrams_plus_qid_fe,qid,899,-1.1869015706799955,1.1869015706799955
M3_l1_tokens_bigrams_plus_qid_fe,qid,1095,1.1424663296378303,1.1424663296378303
M3_l1_tokens_bigrams_plus_qid_fe,qid,844,-1.1099577056232552,1.1099577056232552
M3_l1_tokens_bigrams_plus_qid_fe,token,infer,1.0734367255120838,1.0734367255120838
M3_l1_tokens_bigrams_plus_qid_fe,qid,45,1.07113581306593,1.07113581306593
M3_l1_tokens_bigrams_plus_qid_fe,qid,950,1.069561571797173,1.069561571797173
M3_l1_tokens_bigrams_plus_qid_fe,token,normalize,-1.063089978319106,1.063089978319106
M3_l1_tokens_bigrams_plus_qid_fe,qid,1142,-1.0553463227475166,1.0553463227475166
M3_l1_tokens_bigrams_plus_qid_fe,qid,880,-0.9847486714602185,0.9847486714602185
M3_l1_tokens_bigrams_plus_qid_fe,qid,52,0.9819671358728111,0.9819671358728111
M3_l1_tokens_bigrams_plus_qid_fe,token,approximate,-0.9735362911083654,0.9735362911083654
M3_l1_tokens_bigrams_plus_qid_fe,qid,250,0.95503783127897,0.95503783127897
M3_l1_tokens_bigrams_plus_qid_fe,token,conclude,0.9502623385132524,0.9502623385132524
M3_l1_tokens_bigrams_plus_qid_fe,token,analyze factor,-0.9210357693460518,0.9210357693460518
M3_l1_tokens_bigrams_plus_qid_fe,qid,185,0.9011551316711024,0.9011551316711024
M3_l1_tokens_bigrams_plus_qid_fe,qid,270,0.8978253538754609,0.8978253538754609
M3_l1_tokens_bigrams_plus_qid_fe,qid,369,-0.8966153117843094,0.8966153117843094
M3_l1_tokens_bigrams_plus_qid_fe,qid,447,0.8929268060742996,0.8929268060742996
M3_l1_tokens_bigrams_plus_qid_fe,token,determine-ratio,-0.8870912439247431,0.8870912439247431
M3_l1_tokens_bigrams_plus_qid_fe,token,transform,0.8813049899671187,0.8813049899671187
M3_l1_tokens_bigrams_plus_qid_fe,qid,1121,-0.866309699873287,0.866309699873287
M3_l1_tokens_bigrams_plus_qid_fe,qid,1139,-0.859113001955754,0.859113001955754
M3_l1_tokens_bigrams_plus_qid_fe,qid,983,0.8521383835748921,0.8521383835748921
M3_l1_tokens_bigrams_plus_qid_fe,qid,466,-0.824808988964304,0.824808988964304
M3_l1_tokens_bigrams_plus_qid_fe,qid,615,0.8206453427865853,0.8206453427865853
M3_l1_tokens_bigrams_plus_qid_fe,qid,167,0.8019812287415015,0.8019812287415015
M3_l1_tokens_bigrams_plus_qid_fe,qid,609,0.797052334042665,0.797052334042665
M3_l1_tokens_bigrams_plus_qid_fe,qid,195,0.7893994878076169,0.7893994878076169
M3_l1_tokens_bigrams_plus_qid_fe,qid,169,0.7845474708219096,0.7845474708219096
M3_l1_tokens_bigrams_plus_qid_fe,qid,1028,-0.7086770971171489,0.7086770971171489
M3_l1_tokens_bigrams_plus_qid_fe,qid,485,-0.696370554529704,0.696370554529704
M3_l1_tokens_bigrams_plus_qid_fe,qid,834,-0.68377302916394,0.68377302916394
M3_l1_tokens_bigrams_plus_qid_fe,qid,876,-0.6673528810422857,0.6673528810422857
M3_l1_tokens_bigrams_plus_qid_fe,qid,222,-0.6243045136408757,0.6243045136408757
