motif,motif_len,support_total,support_correct,support_incorrect,support_rate,p_correct_given_motif,p_incorrect_given_motif,baseline_correct_rate,baseline_incorrect_rate,delta_correct_vs_baseline,lift_correct,lift_incorrect,log_odds_ratio,indicator_direction,indicator_strength
combine_like_terms combine_like_terms find_common_denominator,3,19,19,0,0.007081625046589639,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.8411375012488778,success,0.540439806187104
compute_sum conclude,2,19,19,0,0.007081625046589639,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.8411375012488778,success,0.540439806187104
identify_parameters compute_sum conclude,3,19,19,0,0.007081625046589639,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.8411375012488778,success,0.540439806187104
instantiate instantiate transform,3,18,18,0,0.006708907938874394,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.787670722449505,success,0.540439806187104
derive-intermediate solve,2,18,18,0,0.006708907938874394,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.787670722449505,success,0.540439806187104
transform derive-intermediate,2,18,18,0,0.006708907938874394,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.787670722449505,success,0.540439806187104
compute solve instantiate,3,18,18,0,0.006708907938874394,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.787670722449505,success,0.540439806187104
analyze factor rewrite,3,18,18,0,0.006708907938874394,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.787670722449505,success,0.540439806187104
isolate simplify isolate,3,18,18,0,0.006708907938874394,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.787670722449505,success,0.540439806187104
isolate multiply,2,17,17,0,0.00633619083115915,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.731278502827295,success,0.540439806187104
simplify isolate multiply,3,17,17,0,0.00633619083115915,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.731278502827295,success,0.540439806187104
rationalize combine_like_terms combine_like_terms,3,17,17,0,0.00633619083115915,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.731278502827295,success,0.540439806187104
check-constraint solve,2,17,17,0,0.00633619083115915,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.731278502827295,success,0.540439806187104
compute compute solve,3,16,16,0,0.005963473723443906,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.6716163100711943,success,0.540439806187104
infer substitute,2,16,16,0,0.005963473723443906,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.6716163100711943,success,0.540439806187104
rationalize rationalize,2,14,14,0,0.005218039508013418,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.5407632158919577,success,0.540439806187104
factor check-constraint,2,14,14,0,0.005218039508013418,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.5407632158919577,success,0.540439806187104
simplify check-constraint solve,3,14,14,0,0.005218039508013418,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.5407632158919577,success,0.540439806187104
analyze rationalize rationalize,3,14,14,0,0.005218039508013418,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.5407632158919577,success,0.540439806187104
instantiate transform derive-intermediate,3,14,14,0,0.005218039508013418,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.5407632158919577,success,0.540439806187104
isolate multiply divide,3,14,14,0,0.005218039508013418,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.5407632158919577,success,0.540439806187104
instantiate infer,2,13,13,0,0.004845322400298174,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.468484579732773,success,0.540439806187104
apply-formula instantiate transform,3,13,13,0,0.004845322400298174,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.468484579732773,success,0.540439806187104
check-constraint solve conclude,3,13,13,0,0.004845322400298174,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.468484579732773,success,0.540439806187104
transform derive-intermediate instantiate,3,12,12,0,0.004472605292582929,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.3907045377318643,success,0.540439806187104
derive_intermediate simplify conclude,3,12,12,0,0.004472605292582929,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.3907045377318643,success,0.540439806187104
solve rewrite,2,12,12,0,0.004472605292582929,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.3907045377318643,success,0.540439806187104
solve rewrite conclude,3,12,12,0,0.004472605292582929,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.3907045377318643,success,0.540439806187104
expand rearrange factor,3,12,12,0,0.004472605292582929,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.3907045377318643,success,0.540439806187104
solve solve,2,11,11,0,0.004099888184867686,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.3065045981415815,success,0.540439806187104
sqrt solve solve,3,11,11,0,0.004099888184867686,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.3065045981415815,success,0.540439806187104
solve solve compute,3,11,11,0,0.004099888184867686,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.3065045981415815,success,0.540439806187104
instantiate instantiate infer,3,11,11,0,0.004099888184867686,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.3065045981415815,success,0.540439806187104
compute apply-formula check-constraint,3,11,11,0,0.004099888184867686,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.3065045981415815,success,0.540439806187104
sqrt solve compute,3,11,11,0,0.004099888184867686,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.3065045981415815,success,0.540439806187104
derive-intermediate instantiate transform,3,10,10,0,0.003727171077152441,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.2147151584021554,success,0.540439806187104
analyze rationalize combine_like_terms,3,10,10,0,0.003727171077152441,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.2147151584021554,success,0.540439806187104
instantiate apply_theorem,2,9,9,0,0.003354453969437197,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.1138147063356767,success,0.540439806187104
isolate isolate,2,9,9,0,0.003354453969437197,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.1138147063356767,success,0.540439806187104
instantiate infer substitute,3,9,9,0,0.003354453969437197,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.1138147063356767,success,0.540439806187104
analyze define analyze,3,9,9,0,0.003354453969437197,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.1138147063356767,success,0.540439806187104
rationalize rationalize combine_like_terms,3,9,9,0,0.003354453969437197,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.1138147063356767,success,0.540439806187104
rewrite solve,2,9,9,0,0.003354453969437197,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.1138147063356767,success,0.540439806187104
simplify solve,2,9,9,0,0.003354453969437197,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.1138147063356767,success,0.540439806187104
rewrite solve conclude,3,8,8,0,0.002981736861721953,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.0017727446495077,success,0.540439806187104
transform compute conclude,3,8,8,0,0.002981736861721953,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.0017727446495077,success,0.540439806187104
verify,1,8,8,0,0.002981736861721953,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.0017727446495077,success,0.540439806187104
apply_theorem instantiate,2,8,8,0,0.002981736861721953,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,3.0017727446495077,success,0.540439806187104
rewrite simplify conclude,3,7,7,0,0.002609019754006709,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.8757939409651248,success,0.540439806187104
apply_theorem instantiate compute,3,7,7,0,0.002609019754006709,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.8757939409651248,success,0.540439806187104
isolate simplify conclude,3,7,7,0,0.002609019754006709,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.8757939409651248,success,0.540439806187104
square isolate square,3,7,7,0,0.002609019754006709,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.8757939409651248,success,0.540439806187104
instantiate transform transform,3,7,7,0,0.002609019754006709,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.8757939409651248,success,0.540439806187104
factor check-constraint divide,3,7,7,0,0.002609019754006709,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.8757939409651248,success,0.540439806187104
compute solve conclude,3,7,7,0,0.002609019754006709,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.8757939409651248,success,0.540439806187104
simplify isolate compute,3,7,7,0,0.002609019754006709,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.8757939409651248,success,0.540439806187104
transform transform,2,7,7,0,0.002609019754006709,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.8757939409651248,success,0.540439806187104
compute verify,2,7,7,0,0.002609019754006709,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.8757939409651248,success,0.540439806187104
derive-intermediate rewrite conclude,3,7,7,0,0.002609019754006709,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.8757939409651248,success,0.540439806187104
derive-intermediate solve rewrite,3,7,7,0,0.002609019754006709,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.8757939409651248,success,0.540439806187104
simplify isolate isolate,3,7,7,0,0.002609019754006709,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.8757939409651248,success,0.540439806187104
simplify multiply,2,7,7,0,0.002609019754006709,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.8757939409651248,success,0.540439806187104
infer conclude,2,6,6,0,0.0022363026462914647,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.7318781013543196,success,0.540439806187104
compute derive-intermediate solve,3,6,6,0,0.0022363026462914647,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.7318781013543196,success,0.540439806187104
simplify compute solve,3,6,6,0,0.0022363026462914647,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.7318781013543196,success,0.540439806187104
apply-formula check-constraint check-constraint,3,6,6,0,0.0022363026462914647,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.7318781013543196,success,0.540439806187104
isolate simplify multiply,3,6,6,0,0.0022363026462914647,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.7318781013543196,success,0.540439806187104
rearrange factor check-constraint,3,6,6,0,0.0022363026462914647,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.7318781013543196,success,0.540439806187104
transform compute instantiate,3,6,6,0,0.0022363026462914647,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.7318781013543196,success,0.540439806187104
infer substitute conclude,3,6,6,0,0.0022363026462914647,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.7318781013543196,success,0.540439806187104
apply-formula simplify conclude,3,6,6,0,0.0022363026462914647,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.7318781013543196,success,0.540439806187104
apply_formula case_split compute,3,6,6,0,0.0022363026462914647,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.7318781013543196,success,0.540439806187104
solve compute compute,3,6,6,0,0.0022363026462914647,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.7318781013543196,success,0.540439806187104
case-split check-constraint simplify,3,6,6,0,0.0022363026462914647,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.7318781013543196,success,0.540439806187104
check-constraint simplify conclude,3,6,6,0,0.0022363026462914647,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,2.7318781013543196,success,0.540439806187104
