motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,antecedent,consequent,antecedent_len,consequent_len,success_confidence,failure_confidence,success_rule_lift,failure_rule_lift,confidence_difference,q_value,abs_support_difference,abs_log_odds_ratio
compute => rewrite|compute|conclude,4,10,17,0.10638297872340426,0.53125,-0.42486702127659576,0.20025031251417214,-2.206737134203918,2.423572252191234e-06,compute,rewrite|compute|conclude,1,3,0.1282051282051282,0.6538461538461539,0.2869352862930984,1.1012145730441083,-0.5256410256410257,1.8143819416831946e-05,0.42486702127659576,2.206737134203918
compute => apply-formula|rewrite,3,7,0,0.07446808510638298,0.0,0.07446808510638298,74468085.10638297,1.717651497074333,0.1897976265875651,compute,apply-formula|rewrite,1,2,0.08974358974358974,0.0,0.1917249413153475,0.0,0.08974358974358974,0.30296888219257284,0.07446808510638298,1.717651497074333
compute => apply-formula|rewrite|conclude,4,7,0,0.07446808510638298,0.0,0.07446808510638298,74468085.10638297,1.717651497074333,0.1897976265875651,compute,apply-formula|rewrite|conclude,1,3,0.08974358974358974,0.0,0.1917249413153475,0.0,0.08974358974358974,0.30296888219257284,0.07446808510638298,1.717651497074333
compute => rewrite|compute|compute,4,4,20,0.0425531914893617,0.625,-0.5824468085106383,0.06808510627404256,-3.4959686957657135,1.775710873510482e-11,compute,rewrite|compute|compute,1,3,0.05128205128205128,0.7692307692307693,0.17853751124927011,1.1188811172536555,-0.717948717948718,1.5093722352420869e-09,0.5824468085106383,3.4959686957657135
compute => rewrite|apply-formula,3,2,13,0.02127659574468085,0.40625,-0.3849734042553192,0.05237315862721893,-3.243193132518907,1.5192262530675665e-07,compute,rewrite|apply-formula,1,2,0.02564102564102564,0.5,0.08926875562463506,1.0666666643911111,-0.47435897435897434,1.4460783223643133e-06,0.3849734042553192,3.243193132518907
compute => rewrite|apply-formula|conclude,4,2,12,0.02127659574468085,0.375,-0.3537234042553192,0.056737588501182025,-3.1162216708081174,7.401989530834011e-07,compute,rewrite|apply-formula|conclude,1,3,0.02564102564102564,0.46153846153846156,0.08926875562463506,1.054945052533752,-0.4358974358974359,6.44851291330285e-06,0.3537234042553192,3.1162216708081174
compute => compute|simplify,3,31,7,0.32978723404255317,0.21875,0.11103723404255317,1.5075987773026487,0.522723071555057,0.27227086687553737,compute,compute|simplify,1,2,0.3974358974358974,0.2692307692307692,1.1320901288653904,1.230769225142857,0.1282051282051282,0.4082389134019518,0.11103723404255317,0.522723071555057
compute => derive-intermediate,2,26,1,0.2765957446808511,0.03125,0.24534574468085107,8.8510635465532,2.09483342544742,0.002351921147258749,compute,derive-intermediate,1,1,0.3333333333333333,0.038461538461538464,0.8952380928337415,0.24615384457846157,0.2948717948717948,0.008395051872854145,0.24534574468085107,2.09483342544742
compute => compute|compute|simplify,4,25,6,0.26595744680851063,0.1875,0.07845744680851063,1.4184397087470448,0.4026942556842192,0.47872545185882676,compute,compute|compute|simplify,1,3,0.32051282051282054,0.23076923076923078,0.971877581833827,1.054945050122449,0.08974358974358976,0.5858687672748498,0.07845744680851063,0.4026942556842192
compute => compute|rewrite,3,10,0,0.10638297872340426,0.0,0.10638297872340426,106382978.72340424,2.089010992695987,0.06386747850092758,compute,compute|rewrite,1,2,0.1282051282051282,0.0,0.7088989402732676,0.0,0.1282051282051282,0.12561932885406046,0.10638297872340426,2.089010992695987
