motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,antecedent,consequent,antecedent_len,consequent_len,success_confidence,failure_confidence,success_rule_lift,failure_rule_lift,confidence_difference,q_value,abs_support_difference,abs_log_odds_ratio
instantiate|rewrite => compute,3,14,23,0.14893617021276595,0.71875,-0.569813829787234,0.20721554087728752,-2.619817157541607,5.001548520290841e-09,instantiate|rewrite,compute,2,1,0.7777777777777778,0.8518518518518519,0.9373219361923443,1.0484330471426693,-0.07407407407407407,7.790290725543917e-08,0.569813829787234,2.619817157541607
analyze => instantiate|compute,3,21,25,0.22340425531914893,0.78125,-0.5578457446808511,0.2859574464424851,-2.4530079027072897,5.5190515530082756e-08,analyze,instantiate|compute,1,2,0.31343283582089554,0.8064516129032258,1.339213020058098,1.0322580631948386,-0.4930187770823302,6.919006093283545e-07,0.5578457446808511,2.4530079027072897
analyze|instantiate => compute,3,21,25,0.22340425531914893,0.78125,-0.5578457446808511,0.2859574464424851,-2.4530079027072897,5.5190515530082756e-08,analyze|instantiate,compute,2,1,0.875,0.8620689655172413,1.0544871782163874,1.0610079562538257,0.012931034482758674,6.919006093283545e-07,0.5578457446808511,2.4530079027072897
compute => rewrite|compute,3,10,21,0.10638297872340426,0.65625,-0.5498670212765957,0.16210739590292855,-2.711082176964063,4.4343958081185674e-09,compute,rewrite|compute,1,2,0.1282051282051282,0.8076923076923077,0.2869352862930984,1.123745817834521,-0.6794871794871795,7.352514339912721e-08,0.5498670212765957,2.711082176964063
analyze|compute => rewrite|compute,4,10,21,0.10638297872340426,0.65625,-0.5498670212765957,0.16210739590292855,-2.711082176964063,4.4343958081185674e-09,analyze|compute,rewrite|compute,2,2,0.19607843137254902,0.84,0.4388422025659152,1.1686956505479018,-0.643921568627451,7.352514339912721e-08,0.5498670212765957,2.711082176964063
compute|rewrite => compute,3,10,21,0.10638297872340426,0.65625,-0.5498670212765957,0.16210739590292855,-2.711082176964063,4.4343958081185674e-09,compute|rewrite,compute,2,1,0.5882352941176471,1.0,0.7088989433387478,1.2307692292544379,-0.4117647058823529,7.352514339912721e-08,0.5498670212765957,2.711082176964063
instantiate => compute,2,22,25,0.23404255319148937,0.78125,-0.5472074468085106,0.2995744677016511,-2.3938466842723702,7.220704877458821e-08,instantiate,compute,1,1,0.88,0.8620689655172413,1.0605128192347666,1.0610079562538257,0.01793103448275868,8.836767397651986e-07,0.5472074468085106,2.3938466842723702
analyze => instantiate|rewrite|conclude,4,17,23,0.18085106382978725,0.71875,-0.5378989361702128,0.25161887106527775,-2.3937856779734514,5.351274452874544e-08,analyze,instantiate|rewrite|conclude,1,3,0.2537313432835821,0.7419354838709677,1.3250414524501568,1.032258063079944,-0.48820414058738565,6.919006093283545e-07,0.5378989361702128,2.3937856779734514
analyze|instantiate => rewrite|conclude,4,17,23,0.18085106382978725,0.71875,-0.5378989361702128,0.25161887106527775,-2.3937856779734514,5.351274452874544e-08,analyze|instantiate,rewrite|conclude,2,2,0.7083333333333334,0.7931034482758621,1.1285310716483292,1.0151724124936827,-0.08477011494252873,6.919006093283545e-07,0.5378989361702128,2.3937856779734514
analyze|instantiate|rewrite => conclude,4,17,23,0.18085106382978725,0.71875,-0.5378989361702128,0.25161887106527775,-2.3937856779734514,5.351274452874544e-08,analyze|instantiate|rewrite,conclude,3,1,1.0,0.8518518518518519,1.0217391293908318,1.0484330471426693,0.14814814814814814,6.919006093283545e-07,0.5378989361702128,2.3937856779734514
analyze => compute|rewrite,3,12,21,0.1276595744680851,0.65625,-0.5285904255319149,0.19452887508351424,-2.512775548796793,2.8088147070843103e-08,analyze,compute|rewrite,1,2,0.1791044776119403,0.6774193548387096,0.9903424001429529,1.0322580629431644,-0.49831487722676937,4.1249450269752447e-07,0.5285904255319149,2.512775548796793
analyze|compute => rewrite,3,12,21,0.1276595744680851,0.65625,-0.5285904255319149,0.19452887508351424,-2.512775548796793,2.8088147070843103e-08,analyze|compute,rewrite,2,1,0.23529411764705882,0.84,0.3748753732811059,0.9268965507013556,-0.6047058823529412,4.1249450269752447e-07,0.5285904255319149,2.512775548796793
instantiate => rewrite|conclude,3,18,23,0.19148936170212766,0.71875,-0.5272606382978724,0.26641998112794113,-2.325228631291829,1.0981854799727148e-07,instantiate,rewrite|conclude,1,2,0.72,0.7931034482758621,1.147118642240184,1.0151724124936827,-0.07310344827586213,1.2828803106953988e-06,0.5272606382978724,2.325228631291829
instantiate|rewrite => conclude,3,18,23,0.19148936170212766,0.71875,-0.5272606382978724,0.26641998112794113,-2.325228631291829,1.0981854799727148e-07,instantiate|rewrite,conclude,2,1,1.0,0.8518518518518519,1.0217391293908318,1.0484330471426693,0.14814814814814814,1.2828803106953988e-06,0.5272606382978724,2.325228631291829
