motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,antecedent,consequent,antecedent_len,consequent_len,success_confidence,failure_confidence,success_rule_lift,failure_rule_lift,confidence_difference,q_value,abs_support_difference,abs_log_odds_ratio
simplify => compute,2,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,simplify,compute,1,1,0.3103448275862069,0.0,0.3740053045890635,0.0,0.3103448275862069,0.017691005133497965,0.19148936170212766,2.754867261147426
simplify => compute|conclude,3,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,simplify,compute|conclude,1,2,0.3103448275862069,0.0,0.3838475494344971,0.0,0.3103448275862069,0.017691005133497965,0.19148936170212766,2.754867261147426
compute => conclude,2,76,20,0.8085106382978723,0.625,0.18351063829787229,1.2936170192068084,0.924823766912104,0.05301191521638727,compute,conclude,1,1,0.9743589743589743,0.7692307692307693,0.9955406901756823,0.9467455609649523,0.20512820512820507,0.11031629320333222,0.18351063829787229,0.924823766912104
rewrite => rewrite|compute,3,20,1,0.2127659574468085,0.03125,0.1815159574468085,6.808510420425539,1.7541481984822718,0.014557786168934949,rewrite,rewrite|compute,1,2,0.3389830508474576,0.034482758620689655,0.7586763501987009,0.047976011927253766,0.30450029222676794,0.03507595166138417,0.1815159574468085,1.7541481984822718
rewrite => rewrite|compute|conclude,4,20,1,0.2127659574468085,0.03125,0.1815159574468085,6.808510420425539,1.7541481984822718,0.014557786168934949,rewrite,rewrite|compute|conclude,1,3,0.3389830508474576,0.034482758620689655,0.7586763501987009,0.058076224947559464,0.30450029222676794,0.03507595166138417,0.1815159574468085,1.7541481984822718
analyze|simplify => compute,3,17,0,0.18085106382978725,0.0,0.18085106382978725,180851063.82978722,2.686310214465804,0.0062449735929163445,analyze|simplify,compute,2,1,0.53125,0.0,0.6402243582028065,0.0,0.53125,0.017636903443730777,0.18085106382978725,2.686310214465804
analyze|simplify => compute|conclude,4,17,0,0.18085106382978725,0.0,0.18085106382978725,180851063.82978722,2.686310214465804,0.0062449735929163445,analyze|simplify,compute|conclude,2,2,0.53125,0.0,0.657072367608358,0.0,0.53125,0.017636903443730777,0.18085106382978725,2.686310214465804
analyze|apply-formula|simplify => compute,4,17,0,0.18085106382978725,0.0,0.18085106382978725,180851063.82978722,2.686310214465804,0.0062449735929163445,analyze|apply-formula|simplify,compute,3,1,0.5483870967741935,0.0,0.66087675685451,0.0,0.5483870967741935,0.017636903443730777,0.18085106382978725,2.686310214465804
apply-formula|simplify => compute,3,17,0,0.18085106382978725,0.0,0.18085106382978725,180851063.82978722,2.686310214465804,0.0062449735929163445,apply-formula|simplify,compute,2,1,0.5483870967741935,0.0,0.66087675685451,0.0,0.5483870967741935,0.017636903443730777,0.18085106382978725,2.686310214465804
apply-formula|simplify => compute|conclude,4,17,0,0.18085106382978725,0.0,0.18085106382978725,180851063.82978722,2.686310214465804,0.0062449735929163445,apply-formula|simplify,compute|conclude,2,2,0.5483870967741935,0.0,0.678268250434434,0.0,0.5483870967741935,0.017636903443730777,0.18085106382978725,2.686310214465804
analyze|rewrite => rewrite|compute,4,19,1,0.20212765957446807,0.03125,0.17087765957446807,6.4680848994042615,1.6908042470381452,0.023955807621744284,analyze|rewrite,rewrite|compute,2,2,0.3584905660377358,0.034482758620689655,0.8023360269554186,0.047976011927253766,0.32400780741704616,0.054483562467152934,0.17087765957446807,1.6908042470381452
